Arquivo|indicacao|indication|ATC_1|ATC_2|ATC_3|ATC_4
bula2546|Este medicamento é destinado ao tratamento de uma variedade de condições que requeiram atividade anti-inflamatória, analgésica e antipirética.|This Medicine is intended for the treatment of a variety of conditions that require anti-inflammatory, analgesic and antipyretic activity.|M|M01|M01A|M01A1
bula1588|Tracleerr é indicado para o tratamento da hipertensão arterial pulmonar OMS - grupo I, em pacientes com classe funcional II, III e IV de acordo com a Organização Mundial de Saúde OMS para melhorar a capacidade física e diminuir a taxa de agravamento clínico. Tracleerr também é indicado para a redução do número de novas úlceras digitais em pacientes com esclerose sistêmica e úlceras digitais ativas.|Tracleerr is indicated for the treatment of pulmonary arterial hypertension WHO-group I, in patients with functional class II, III and IV according to the World Health Organization WHO to improve physical capacity and decrease the rate of clinical worsening. Tracleerr is also indicated for the reduction of the number of new digital ulcers in patients with systemic sclerosis and active digital ulcers.|C|C06|C06B|C06B1
bula4764|PEGINTRONr é indicado para o tratamento da hepatite C crônica e hepatite B crônica. Considera-se o tratamento ideal para a hepatite C crônica a administração da combinação de alfapeginterferona 2b com ribavirina. Quando PEGINTRONr for usado em combinação com ribavirina, verifique também as informações contidas na bula da ribavirina utilizada. Essa combinação de alfapeginterferona 2b e ribavirina é indicada para pacientes sem tratamento prévio, recidivantes e não-respondedores com hepatite C crônica que tenham transaminases normais ou elevadas sem descompensação hepática, incluindo aqueles com evidência histológica de cirrose Child-Pugh classe A e que sejam positivos para HCV-RNA. Essa combinação também é indicada para o tratamento de pacientes com hepatite C crônica que estejam coinfectados com HIV, clinicamente estáveis. Os pacientes devem ter 18 anos de idade, ou mais, e apresentar hepatopatia compensada.|PEGINTRONr is indicated for the treatment of chronic hepatitis C and chronic hepatitis B. It is Considered the ideal treatment for chronic hepatitis C to administer the combination of Alfapeginterferone 2b with ribavirin. When PEGINTRONr is used in combination with ribavirin, check also the information contained in the ribavirin leaflet used. This combination of Alfapeginterferone 2b and ribavirin is indicated for patients without prior treatment, relapsers and non-responders with chronic hepatitis C who have normal or elevated transaminases without hepatic decompensation, including those with Histological evidence of Child-Pugh class A cirrhosis and that are positive for HCV-RNA. This combination is also indicated for the treatment of patients with chronic hepatitis C who are clinically stable coinfected with HIV. Patients must be 18 years of age or older and have compensated liver disease.|J|J05|J05D|J05D1
bula4038|Cleartopr creme é indicado para aplicação tópica no tratamento de micoses superficiais incluindo dermatofitoses Tinea corporis, Tinea cruris, Tinea manus e Tinea pedis, candidíase cutânea e pitiríase versicolor.|CLEARTOPR Cream is indicated for topical application in the treatment of superficial mycoses including dermatophytooses Tinea corporis, Tinea Cruris, Tinea Manus and Tinea pedis, cutaneous candidiasis and Pityriasis versicolor.|D|D01|D01A|D01A1
bula5176|Azitromicina monoidratada é indicada para o tratamento de pneumonia adquirida na comunidade causada por organismos suscetíveis, incluindo Legionella pneumophila, em pacientes que requerem tratamento intravenoso inicial. Azitromicina monoidratada também é indicada para o tratamento de doença inflamatória pélvica causada por organismos suscetíveis Chlamydia trachomatis, Neisseria gonorrhoeae, Mycoplasma hominis, em pacientes que requerem tratamento intravenoso inicial.|Monohydrate Azithromycin is indicated for the treatment of community-acquired pneumonia caused by susceptible organisms, including Legionella pneumophila, in patients requiring initial intravenous treatment. Monohydrate Azithromycin is also indicated for the treatment of pelvic inflammatory disease caused by susceptible organisms Chlamydia trachomatis, Neisseria Gonorrhoeae, Mycoplasma hominis, in patients requiring initial intravenous treatment.|J|J01|J01F|J01F0
bula6999|LUMIGANr é indicado para a redução da pressão intraocular elevada PIO em pacientes com glaucoma de ângulo aberto, glaucoma de ângulo fechado em pacientes submetidos previamente a iridotomia ou hipertensão ocular.|LUMIGANr is indicated for the reduction of high IOP intraocular pressure in patients with open-angle glaucoma, closed-angle glaucoma in patients previously submitted to iridotomy or ocular hypertension.|S|S01|S01E|S01E2
bula2094|Tratamento da endometriose.|Treatment of endometriosis.|G|G03|G03D|G03D0
bula5755|GRIPINEWr é constituído por uma associação das seguintes substâncias dipirona, maleato de clorfeniramina e cafeína. É indicado para alivio dos sintomas decorrentes de gripes e resfriados, como cefaleia, febre e processos alérgicos. A dipirona é um agente analgésico e antipirético de largo uso clínico, está indicada no tratamento de todos os processos dolorosos agudos ou crônicos. O maleato de clorfeniramina é um anti-histamínico derivado da piralamina. A cafeína é um estimulante suave do SNC, comumente utilizado associado aos analgésicos, com a intenção de aumentar a resposta terapêutica no tratamento.|GRIPINEWr consists of an association of the following Dipyrone, Chlorpheniramine Maleate and caffeine. It is indicated for relief of symptoms resulting from flu and colds, such as headache, fever and allergic processes. Dipyrone is an analgesic and antipyretic agent of wide clinical use, is indicated in the treatment of all acute or chronic painful processes. Chlorpheniramine Maleate is an antihistamine derived from Pyallamine. Caffeine is a mild stimulant of the CNS, commonly used in association with analgesics, with the intention of increasing the therapeutic response in the treatment.|R|R05|R05A|R05A0
bula3389|Em adultos, hemifumarato de quetiapina é indicado para o tratamento da esquizofrenia, como monoterapia ou adjuvante no tratamento dos episódios de mania associados ao transtorno afetivo bipolar, dos episódios de depressão associados ao transtorno afetivo bipolar, no tratamento de manutenção do transtorno afetivo bipolar I episódios maníaco, misto ou depressivo em combinação com os estabilizadores de humor lítio ou valproato, e como monoterapia no tratamento de manutenção no transtorno afetivo bipolar episódios de mania, mistos e depressivos. Em adolescentes 13 a 17 anos, hemifumarato de quetiapina é indicado para o tratamento da esquizofrenia. Em crianças e adolescentes 10 a 17 anos, hemifumarato de quetiapina é indicado como monoterapia ou adjuvante no tratamento dos episódios de mania associados ao transtorno afetivo bipolar.|In adults, Quetiapine Hemifumarate is indicated for the treatment of schizophrenia, as monotherapy or adjuvant in the treatment of episodes of mania associated with bipolar affective disorder, of episodes of depression associated with affective disorder Bipolar, in the maintenance treatment of Bipolar affective disorder I manic, mixed or depressive episodes in combination with the lithium mood stabilizers or valproate, and as monotherapy in the maintenance treatment in Bipolar affective Disorder episodes of mania, mixed and depressive. In adolescents 13 to 17 years of age, Quetiapine Hemifumarate is indicated for the treatment of schizophrenia. In Children and adolescents 10 to 17 years of age, Quetiapine Hemifumarate is indicated as monotherapy or adjuvant in the treatment of episodes of mania associated with bipolar affective disorder.|N|N05|N05A|N05A1
bula719|Predmicinr possui ação antiinflamatória, antialérgica e antipruriginosa. Indicado no tratamento das dermatoses infectadas, dermatites infecciosas e alérgicas eczema, impetigo, foliculites, acne e furunculose e auxiliar no tratamento das queimaduras.|Predmicinr has action Anti-inflammatory, anti-allergic and Actions. Indicated in the treatment of infected dermatoses, infectious dermatitis and allergic eczema, impetigo, foliculites, acne and furunculosis and assist in the treatment of burns.|D|D07|D07B|D07B1
bula2122|Este medicamento é indicado, em adultos, para a redução da febre e o alívio temporário de dores leves a moderadas, tais como dores associadas a resfriados comuns, dor de cabeça, dor no corpo, dor de dente, dor nas costas, dores musculares, dores leves associadas a artrites e dismenorréia. Em bebês e crianças é indicado para a redução da febre e para o alívio temporário de dores leves a moderadas, tais como dores associadas a gripes e resfriados comuns, dor de cabeça, dor de dente, dor de garganta.|This medicine is indicated, in adults, for the reduction of fever and the temporary relief of mild to moderate pain, such as pain associated with common coladas, headache, body pain, toothache, back pain, muscular pain, mild pain associated with Arthritis and Dysmenorrhea. In Infants and children It is indicated for the reduction of fever and for the temporary relief of mild to moderate pain, such as pains associated with common flu and colds, headache, toothache, sore throat.|N|N02|N02B|N02B2
bula3826|O Amytrilr é recomendado para o tratamento da depressão em suas diversas formas e enurese noturna, na qual as causas orgânicas foram excluídas.|AMYTRILR is recommended for the treatment of depression in its various forms and nocturnal enuresis, in which the organic causes were excluded.|N|N06|N06A|N06A9
bula5027|VIMIZIMTM alfaelosulfase é indicado para pacientes com mucopolissacaridose tipo IVA MPS IVA síndrome de Morquio A.|VIMIZIMTM Alfaelosulfase is indicated for patients with mucopolysaccharidosis type IVA MPS IVA Morquio syndrome A.|A|A16|A16A|A16A0
bula8218|Signiforr LP é indicado para o tratamento de pacientes adultos com acromegalia para os quais a cirurgia do tumor hipofisário foi ineficaz ou não é uma opção e que não estão adequadamente controlados com outros análogos da somatostatina. Signiforr LP reduz os sintomas de acromegalia, que inclui dor de cabeça, transpiração excessiva, dormência das mãos e dos pés, cansaço, e dor nas articulações.|Signiforr LP is indicated for the treatment of adult patients with acromegaly for whom pituitary tumor surgery has been ineffective or is not an option and that they are not adequately controlled with other somatostatin analogues. Signiforr LP reduces the symptoms of acromegaly, which includes headache, excessive sweating, numbness of the hands and feet, tiredness, and joint pain.|H|H01|H01C|H01C2
bula478|NEPEZILr cloridrato de donepezila é indicado para o tratamento sintomático da demência de Alzheimer de intensidade leve, moderadamente grave e grave. O diagnóstico da demência de Alzheimer deve ser realizado de acordo com guias aceitos, como DSM IV, CID 10.|NEPEZILr hydrochloride Donepezil is indicated for the symptomatic treatment of mild, moderately severe and severe Alzheimer's dementia. The diagnosis of Alzheimer's dementia should be performed according to accepted guides, such as DSM IV, ICD 10.|N|N07|N07D|N07D1
bula4947|THIABENr COMPRIMIDO é um medicamento com ação vermífuga e vermicida e está indicado para o tratamento da Strongyloides stercoralis, Larva migrans cutânea e Larva migrans visceral toxocaríase.|THIABENr TABLET is a medicine with vermivanishing and vermicide action and is indicated for the treatment of Strongyloides stercoralis, Larva migrans cutis and Larva migrans visceral toxocariasis.|P|P01|P01B|P01B0
bula5420|Cloridrato de sevelâmer é indicado para o controle do fósforo sérico em pacientes com Doença Renal Crônica DRC sob diálise. Em pacientes sob diálise, cloridrato de sevelâmer diminui a incidência de episódios de hipercalcemia em relação aos pacientes em tratamento com cálcio.|Sevelamer Hydrochloride is indicated for the control of serum phosphorus in patients with Chronic Renal Disease CKD undergoing dialysis. In patients on dialysis, sevelamer hydrochloride decreases the incidence of hypercalcemia episodes in relation to patients undergoing calcium treatment.|V|V03|V03G|V03G2
bula7232|Topiramato é indicado em monoterapia tanto em pacientes com epilepsia recentemente diagnosticada como em pacientes que recebiam terapia adjuvante e serão convertidos à monoterapia. Topiramato é indicado, para adultos e crianças, como adjuvante no tratamento de crises epilépticas parciais, com ou sem generalização secundária e crises tônico-clônicas generalizadas primárias. Topiramato é indicado, também, para adultos e crianças como tratamento adjuvante das crises associadas à Síndrome de Lennox-Gastaut. Topiramato é indicado, em adultos, como tratamento profilático da enxaqueca. O uso de topiramato para o tratamento agudo da enxaqueca não foi estudado.|Topiramate is indicated as monotherapy in patients with recently diagnosed epilepsy and in patients receiving adjuvant therapy and will be converted to monotherapy. Topiramate is indicated for adults and children as an adjuvant in the treatment of partial epileptic seizures, with or without secondary generalization and primary generalized tonic-clonic crises. Topiramate is also indicated for adults and children as an adjuvant treatment of the crises associated with Lennox-Gastaut Syndrome. Topiramate is indicated in adults as a prophylactic treatment of migraine. The use of topiramate for the acute treatment of migraine has not been studied.|N|N03|N03A|N03A0
bula2973|Xefor é destinado para - tratamento da dor associada à lombalgia aguda e crônica - tratamento da dor pós-operatória, inclusive dor pós-cirurgia dentária - tratamento da dor e inflamação na osteoartrite - tratamento da dor e inflamação na artrite reumatoide.|Xefor is intended for-treatment of pain associated with acute and chronic low back pain-treatment of post-operative soreness, including pain after dental surgery-treatment of pain and inflammation in osteoarthritis-treatment of pain and inflammation in rheumatoid arthritis.|M|M01|M01A|M01A1
bula3011|O albendazol é um carbamato benzimidazólico com atividade anti-helmíntica e antiprotozoária indicado para o tratamento contra os seguintes parasitas intestinais e dos tecidos Ascaris lumbricoides, Enterobius vermicularis, Necator americanus, Ancylostoma duodenale, Trichuris trichiura, Strongyloides stercoralis, Taenia spp. e Hymenolepis nana somente nos casos de parasitismo a eles associado. São indicações ainda a opistorquíase Opisthorchis viverrini e a larva migrans cutânea, bem como a giardíase Giardia lamblia, G. duodenalis, G. intestinalis em crianças.|The Albendazole is a Carbamate Benzimidazole With anthelmintic activity and Antiprotozoa indicated for treatment against the following intestinal parasites and the Ascaris lumbricoides tissues, Vermicularis Vermicularis, Necator Americanus, Ancylostoma Duodenale, Trichuris Trichiura, Strongyloides Stercoralis, Taenia spp. and Hymenolepis Nana only in cases of parasitism associated with them. Indications Are still Opisthorchiasis Opisthorchis Viverrini and the larva Migrans Cutaneous, as well as giardiasis Giardia Lamblia, G. DuodenalisG. Intestinalis In children.|P|P01|P01B|P01B0
bula4401|Epilepsia A gabapentina é indicada como monoterapia no tratamento de crises parciais com ou sem generalização secundária, em adultos e em crianças acima de 12 anos de idade. A segurança e eficácia da monoterapia em crianças menores de 12 anos de idade não foram estabelecidas vide item 8 - Posologia e Modo de Usar - Pacientes Adultos e Pediátricos a partir de 12 Anos de Idade. A gabapentina também é indicada como terapêutica adjuvante no tratamento de crises parciais com ou sem generalização secundária em adultos e em crianças a partir de 12 anos de idade. Dor Neuropática A gabapentina é indicada para o tratamento da dor neuropática em adultos a partir de 18 anos de idade. A segurança e eficácia em pacientes abaixo de 18 anos não foi estabelecida.|Epilepsy A Gabapentin is indicated as monotherapy in the treatment of partial seizures with or without secondary generalization, in adults and in children over 12 years of age. The safety and efficacy of monotherapy in children under 12 years of age have not been set forth in item 8-Posology and Mode of Use-Adult and Pediatric Patients from 12 Years of Age. The Gabapentin It is also indicated as adjuvant therapy in the treatment of partial seizures with or without secondary generalization in adults and children from 12 years of age. Neuropathic Pain A Gabapentin is indicated for the treatment of neuropathic pain in adults from 18 years of age. Safety and efficacy in patients under 18 years has not been established.|N|N03|N03A|N03A0
bula3865|Atenolol é indicado para - Controle da hipertensão arterial - Controle da angina pectoris - Controle de arritmias cardíacas - Tratamento do infarto do miocárdio - Intervenção precoce e tardia após infarto do miocárdi.|Atenolol is indicated for-Control of arterial hypertension-Control of angina Pectoris -Control of cardiac arrhythmias- Treatment of myocardial infarction-early and late Intervention after myocardial infarction Myocardial.|C|C07|C07A|C07A0
bula1502|Rabinefilr é indicado no tratamento de 1. Neoplasias que respondem com maior frequência  Doença de Hodgkin generalizada estádios III e IV, modificação Ann Arbor do sistema Rye de estadiamento.  Linfoma linfocítico nodular e difuso, bem e mal diferenciado.  Linfoma histiocítico.  Micoses fungoides estádios avançados.  Carcinoma avançado dos testículos.  Sarcoma de Kaposi.  Doença de Letterer-Siwe histiocitose X. 2 . Neoplasias que respondem com menor frequência Coriocarcinoma resistente a outros agentes quimioterápicos. Carcinoma de mama que não responde a cirurgia endócrina adequada e a terapia hormonal.|RABINEFILR is indicated in the treatment of 1. Neoplasms that respond more frequently to generalized stages III and IV Hodgkin's Disease, Ann Arbor modification of the Rye staging system.  Lymphoblastic Lymphoma, nodular and diffuse, well and poorly differentiated.  Histiocytic Lymphoma.  Mycoses Mycosis advanced Stadiums.  Advanced Carcinoma of the testes.  Kaposi's Sarcoma.  Letterer Disease-Siwe histiocytosis X. 2. Neoplasms that respond less frequently to Choriocarcinoma resistant to other chemotherapeutic agents. Breast Carcinoma that does not respond to adequate endocrine surgery and hormone therapy.|L|L01|L01C|L01C1
bula2209|A efedrina injetável está indicada  No tratamento ou prevenção da hipotensão arterial associada à anestesia intratecal, epidural e anestesia geral  No tratamento do choque - situação clínica de queda abrupta e grave da pressão arterial e que não responde com o tratamento com reposição de fluidos administrados na veia.|Injectable ephedrine is Indicated In the Treatment or prevention of arterial hypotension associated with anaesthesia Intrathecal, epidural and general anesthesia In the treatment of shock-clinical situation of abrupt and severe drop in blood pressure and which does not respond with treatment with fluid replacement administered in the vein.|R|R03|R03X|R03X2
bula1396|O uso de Meradizolr comprimidos deve ser restrito aos médicos com experiência em micoses superficiais e mucocutâneas. Devido ao risco de toxicidade hepática grave Meradizolr comprimidos deve ser utilizado apenas se os benefícios potenciais forem considerados superiores aos potenciais riscos, considerando outras terapias antifúngicas eficazes. As indicações são - Tinea capitis - Foliculite por Malassezia - Candidíase mucocutânea crônic.|The use of MERADIZOLR tablets should be restricted to physicians with experience in superficial and mucocutaneous mycoses. Due to the risk of severe hepatic toxicity MERADIZOLR tablets should be used only if the potential benefits are considered superior to potential risks, considering other effective antifungal therapies. The indications are-Tinea capitis-Folliculitis by Malassezia-mucocutaneous Candidiasis crônic.|J|J02|J02A|J02A0
bula1798|A bromoprida está indicada para - distúrbios da motilidade gastrintestinal - refluxo gastroesofágico - náuseas e vômitos de origem central e periférica cirurgias, metabólicas, infecciosas e problemas secundários ao uso de medicamentos. A bromoprida é utilizada também para facilitar os procedimentos radiológicos do trato gastrintestinal.|The Bromopride is indicated for-disorders of gastrointestinal motility-gastroesophageal reflux-nausea and vomiting of central origin and peripheral surgeries, metabolic, infectious and problems secondary to the use of medications. The Bromopride It is also used to facilitate the radiological procedures of the gastrointestinal tract.|A|A03|A03F|A03F0
bula681|Oceralr creme deve ser usado para o tratamento dos seguintes tipos de micose  Tinha dos pés plantar e interdigital  Tinha crural  Outras dermatofitoses tinha do corpo e tinha das mãos  Pitiríase versicolor  Candidíase cutânea  Micoses do conduto auricular externo desde que a membrana timpânica esteja íntegra.|OCERALR cream should be used for the treatment of the following types of Mycosis Had of the plantar and InterDigital feet Had Other crural Dermatophytosis Had of the body and had of hands  Pityriasis versicolor cutaneous Candidiasis Mycoses of the external auricular conduit provided that the tympanic membrane is intact.|D|D01|D01A|D01A1
bula3299|Dorzal solução oftálmica é indicado para o tratamento da pressão intraocular PIO elevada em caso de - Hipertensão ocular - Glaucoma de ângulo aberto - Glaucoma pseudo-esfoliativo e outros glaucomas secundários de ângulo aberto - Como terapia adjuvante juntamente a betabloqueadores - Como monoterapia em pacientes que não respondem aos betabloqueadores ou pacientes para os quais os betabloqueadores são contraindicados.|Dorzal Ophthalmic solution is indicated for the treatment of elevated IOP intraocular pressure in case of-ocular Hypertension-open-angle Glaucoma-Glaucoma Pseudo-esfoliativo and other open-angle secondary glaucoma-as adjuvant therapy together with beta-blockers-as monotherapy in patients who do not respond to beta-blockers or patients for whom beta-blockers are contraindicated.|S|S01|S01E|S01E2
bula2305|Tratamento preventivo da asma brônquica, especialmente quando associadas com sintomas atópicos. O fumarato de cetotifeno não é eficaz para suprimir crises de asma já estabelecidas. Este medicamento não é um substituto para o tratamento com corticosteroides inalatórios ou sistêmicos, quando corticosteroides são indicados no tratamento da asma. Prevenção e tratamento de distúrbios alérgicos multi-sistêmicos - urticária crônica - dermatite atópica - rinite alérgica e conjuntivite.|Preventive Treatment of bronchial asthma, especially when associated with atopic symptoms. Ketotifen Fumarate is not effective to suppress already established asthma crises. This medicine is not a substitute for treatment with inhaled or systemic corticosteroids when corticosteroids are indicated for the treatment of asthma. Prevention and treatment of multi-sistêmicos allergic disorders-chronic urticaria-atopic dermatitis-allergic rhinitis and conjunctivitis.|R|R03|R03C|R03C2
bula6000|A mesalazina está indicada como anti-inflamatório para reduzir as reações inflamatórias que acometem a mucosa do cólon e do reto, nas fases agudas da retocolite ulcerativa idiopática. É também utilizado para prevenir ou reduzir as recidivas dessa enfermidade.|Mesalazine is indicated as an anti-inflammatory to reduce inflammatory reactions affecting the mucosa of the colon and rectum in the acute phases of idiopathic ulcerative Retocolitis. It is also used to prevent or reduce recurrences of this disease.|A|A07|A07E|A07E1
